Job_name,last_update,job_salary,rate,currency,salary_info,Benefits
Johnson & Johnson UX-UI Designer Salaries,12/Mar/2021,"$582,750 - $636,158",/yr,(USD),"UX-UI Designer salaries at Johnson & Johnson can range from $582,750-$636,158. This estimate is based upon 1 Johnson & Johnson UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Occupational Accident Insurance,Health Care On-Site,Mental Health Care,Accidental Death & Dismemberment Insurance,Pension Plan,401K Plan,Retirement Plan,Performance Bonus,Stock Options,Supplemental Workers' Compensation,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Military Leave,Family Medical Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Bereavement Leave,Employee Discount,Employee Assistance Program,Gym Membership,Mobile Phone Discount,Legal Assistance,Diversity Program,Job Training,Professional Development,Tuition Assistance"
Disruptive Advertising Senior UI Designer Salaries,2/Mar/2021,"$68,902 - $74,657",/yr,(USD),"Senior UI Designer salaries at Disruptive Advertising can range from $68,902-$74,657. This estimate is based upon 1 Disruptive Advertising Senior UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior UI Designer salaries to learn how this stacks up in the market.","Health Insurance,401K Plan,Vacation & Paid Time Off"
Storm8 Senior UI Designer Salaries,2/Mar/2020,"$106,394 - $116,848",/yr,(USD),"Senior UI Designer salaries at Storm8 can range from $106,394-$116,848. This estimate is based upon 1 Storm8 Senior UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Maternity & Paternity Leave,Work From Home,Vacation & Paid Time Off"
Sharecare Senior UI Designer Salaries,11/Jun/2020,"$99,171 - $107,483",/yr,(USD),"Senior UI Designer salaries at Sharecare can range from $99,171-$107,483. This estimate is based upon 1 Sharecare Senior UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Work From Home,Dependent Care,Reduced or Flexible Hours,Family Medical Leave,Vacation & Paid Time Off,Paid Holidays,Commuter Checks & Assistance,Company Social Events,Tuition Assistance"
NEXON America Senior UI Designer Salaries,2/Apr/2020,"$82,880 - $90,097",/yr,(USD),"Senior UI Designer salaries at NEXON America can range from $82,880-$90,097. This estimate is based upon 1 NEXON America Senior UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior UI Designer salaries to learn how this stacks up in the market.",Vacation & Paid Time Off
Shipwire Senior UI Designer Salaries,6/Sep/2016,"$114,522 - $125,110",/yr,(USD),"Senior UI Designer salaries at Shipwire can range from $114,522-$125,110. This estimate is based upon 1 Shipwire Senior UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior UI Designer salaries to learn how this stacks up in the market.",
Meijer UX-UI Designer Hourly Pay,16/Jan/2021,$48 - $52,/hr,(USD),UX-UI Designer salaries at Meijer can range from $48-$52. This estimate is based upon 1 Meijer UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.,"Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,401K Plan,Maternity & Paternity Leave,Adoption Assistance,Military Leave,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Bereavement Leave,Employee Discount,Employee Assistance Program,Job Training,Professional Development"
Intuit Senior UI Designer Salaries,2/Feb/2021,"$168,978 - $184,211",/yr,(USD),"Senior UI Designer salaries at Intuit can range from $168,978-$184,211. This estimate is based upon 1 Intuit Senior UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all Senior UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Disability Insurance,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Employee Stock Purchase Plan,Maternity & Paternity Leave,Work From Home,Fertility Assistance,Dependent Care,Adoption Assistance,Childcare,Military Leave,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Bereavement Leave,Employee Discount,Gym Membership,Commuter Checks & Assistance,Company Social Events,Travel Concierge,Job Training,Professional Development,Tuition Assistance"
Extended Stay America UX-UI Designer Salaries,15/Feb/2021,"$87,125 - $94,150",/yr,(USD),"UX-UI Designer salaries at Extended Stay America can range from $87,125-$94,150. This estimate is based upon 1 Extended Stay America UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Vision Insurance,Life Insurance,Disability Insurance,401K Plan,Performance Bonus,Maternity & Paternity Leave,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Bereavement Leave,Employee Discount,Employee Assistance Program,Company Social Events,Professional Development"
CoStar Group UX-UI Designer Salaries,20/Mar/2021,"$84,205 - $91,072",/yr,(USD),"UX-UI Designer salaries at CoStar Group can range from $84,205-$91,072. This estimate is based upon 1 CoStar Group UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Life Insurance,401K Plan,Retirement Plan,Employee Stock Purchase Plan,Performance Bonus,Stock Options,Maternity & Paternity Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Bereavement Leave,Free Lunch or Snacks,Tuition Assistance"
Associated Regional and University Pathologists UX-UI Designer Salaries,28/Dec/2020,"$94,864 - $102,100",/yr,(USD),"UX-UI Designer salaries at Associated Regional and University Pathologists can range from $94,864-$102,100. This estimate is based upon 1 Associated Regional and University Pathologists UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Life Insurance,Supplemental Life Insurance,Disability Insurance,Health Care On-Site,Accidental Death & Dismemberment Insurance,Pension Plan,Retirement Plan,Adoption Assistance,Childcare,Family Medical Leave,Vacation & Paid Time Off,Paid Holidays,Bereavement Leave,Employee Assistance Program,Tuition Assistance"
