Job_name,last_update,job_salary,rate,currency,salary_info,Benefits
Securonix Security Engineer Salaries,15/Apr/2021,"$98,412",/yr,(USD),"The typical Securonix Security Engineer salary is $98,412. Security Engineer salaries at Securonix can range from $84,091 - $120,000. This estimate is based upon 35 Securonix Security Engineer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Security Engineer at Securonix can expect to make an average total pay of $98,950 . See all Security Engineer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Maternity & Paternity Leave,Work From Home,Childcare,Vacation & Paid Time Off,Sick Days,Employee Discount,Employee Assistance Program,Gym Membership"
General Dynamics Information Technology Security Engineer Salaries,21/Apr/2021,"$99,939",/yr,(USD),"The typical General Dynamics Information Technology Security Engineer salary is $99,939. Security Engineer salaries at General Dynamics Information Technology can range from $61,549 - $153,969. This estimate is based upon 44 General Dynamics Information Technology Security Engineer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Security Engineer at General Dynamics Information Technology can expect to make an average total pay of $99,939 . See all Security Engineer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Performance Bonus,Maternity & Paternity Leave,Adoption Assistance,Military Leave,Family Medical Leave,Vacation & Paid Time Off,Paid Holidays,Bereavement Leave,Employee Discount,Employee Assistance Program,Mobile Phone Discount,Legal Assistance,Job Training,Professional Development,Tuition Assistance"
SAIC Security Engineer Salaries,21/Apr/2021,"$112,743",/yr,(USD),"The typical SAIC Security Engineer salary is $112,743. Security Engineer salaries at SAIC can range from $85,912 - $148,891. This estimate is based upon 42 SAIC Security Engineer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Security Engineer at SAIC can expect to make an average total pay of $112,743 . See all Security Engineer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Retirement Plan,Employee Stock Purchase Plan,Work From Home,Reduced or Flexible Hours,Military Leave,Family Medical Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Bereavement Leave,Employee Discount,Employee Assistance Program,Diversity Program,Professional Development,Tuition Assistance"
Fiserv Security Engineer Salaries,30/Mar/2021,"$122,073",/yr,(USD),"The typical Fiserv Security Engineer salary is $122,073. Security Engineer salaries at Fiserv can range from $77,072 - $177,586. This estimate is based upon 51 Fiserv Security Engineer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Security Engineer at Fiserv can expect to make an average total pay of $123,314 . See all Security Engineer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Occupational Accident Insurance,Health Care On-Site,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Retirement Plan,Employee Stock Purchase Plan,Performance Bonus,Supplemental Workers' Compensation,Maternity & Paternity Leave,Work From Home,Adoption Assistance,Reduced or Flexible Hours,Military Leave,Family Medical Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Bereavement Leave,Employee Discount,Employee Assistance Program,Gym Membership,Legal Assistance,Job Training,Professional Development,Tuition Assistance"
Check Point Software Technologies Security Engineer Salaries,20/Apr/2021,"$111,779",/yr,(USD),"The typical Check Point Software Technologies Security Engineer salary is $111,779. Security Engineer salaries at Check Point Software Technologies can range from $60,348 - $160,541. This estimate is based upon 50 Check Point Software Technologies Security Engineer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Security Engineer at Check Point Software Technologies can expect to make an average total pay of $129,056 . See all Security Engineer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Life Insurance,401K Plan,Employee Stock Purchase Plan,Vacation & Paid Time Off,Paid Holidays,Free Lunch or Snacks,Employee Assistance Program"
Google Security Engineer Salaries,12/Apr/2021,"$146,467",/yr,(USD),"The typical Google Security Engineer salary is $146,467. Security Engineer salaries at Google can range from $93,000 - $234,833. This estimate is based upon 81 Google Security Engineer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a Security Engineer at Google can expect to make an average total pay of $150,053 . See all Security Engineer salaries to learn how this stacks up in the market.",
The Home Depot UX Designer Salaries,2/Apr/2020,"$100,369",/yr,(USD),"The typical The Home Depot UX Designer salary is $100,369. UX Designer salaries at The Home Depot can range from $87,962 - $120,997. This estimate is based upon 5 The Home Depot UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at The Home Depot can expect to make an average total pay of $100,369 . See all UX Designer salaries to learn how this stacks up in the market.",
Pearson UX Designer Salaries,2/Apr/2020,"$112,200",/yr,(USD),"The typical Pearson UX Designer salary is $112,200. UX Designer salaries at Pearson can range from $103,523 - $121,325. This estimate is based upon 6 Pearson UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Pearson can expect to make an average total pay of $112,200 . See all UX Designer salaries to learn how this stacks up in the market.",
GoDaddy UX Designer Salaries,26/Jul/2020,"$107,097",/yr,(USD),"The typical GoDaddy UX Designer salary is $107,097. UX Designer salaries at GoDaddy can range from $76,549 - $193,805. This estimate is based upon 6 GoDaddy UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at GoDaddy can expect to make an average total pay of $107,097 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Life Insurance,Supplemental Life Insurance,Disability Insurance,401K Plan,Retirement Plan,Performance Bonus,Stock Options,Maternity & Paternity Leave,Family Medical Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Bereavement Leave,Employee Discount,Free Lunch or Snacks,Employee Assistance Program,Company Social Events,Job Training,Tuition Assistance"
Capital One UX Designer Salaries,16/Feb/2021,"$95,931",/yr,(USD),"The typical Capital One UX Designer salary is $95,931. UX Designer salaries at Capital One can range from $88,461 - $110,110. This estimate is based upon 6 Capital One UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Capital One can expect to make an average total pay of $99,134 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Life Insurance,Supplemental Life Insurance,Disability Insurance,Health Care On-Site,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Employee Stock Purchase Plan,Performance Bonus,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Dependent Care,Reduced or Flexible Hours,Military Leave,Family Medical Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Bereavement Leave,Employee Assistance Program,Gym Membership,Mobile Phone Discount,Company Social Events,Diversity Program,Job Training,Professional Development,Tuition Assistance"
Salesforce UX Designer Salaries,2/Feb/2021,"$94,996",/yr,(USD),"The typical Salesforce UX Designer salary is $94,996. UX Designer salaries at Salesforce can range from $88,726 - $150,182. This estimate is based upon 7 Salesforce UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Salesforce can expect to make an average total pay of $94,996 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Occupational Accident Insurance,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Retirement Plan,Employee Stock Purchase Plan,Performance Bonus,Stock Options,Charitable Gift Matching,Maternity & Paternity Leave,Dependent Care,Adoption Assistance,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Paid Holidays,Volunteer Time Off,Sabbatical,Bereavement Leave,Employee Discount,Free Lunch or Snacks,Employee Assistance Program,Gym Membership,Commuter Checks & Assistance,Mobile Phone Discount,Company Social Events,Diversity Program,Job Training,Professional Development,Tuition Assistance"
Randstad US UX Designer Salaries,15/Jan/2021,"$103,485",/yr,(USD),"The typical Randstad US UX Designer salary is $103,485. UX Designer salaries at Randstad US can range from $72,047 - $160,402. This estimate is based upon 7 Randstad US UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Randstad US can expect to make an average total pay of $103,485 . See all UX Designer salaries to learn how this stacks up in the market.",
